75001,830,1 051
75001,643,140
75001,650,166
75001,700,215
75001,570,114
75001,650,145
75001,507,189
75001,750,205
75001,700,215
75001,650,137
75001,675,139
75001,550,17105
75001,650,236
75001,700,215
75001,470,84
75001,477,140
75001,538,4
75001,487,51217
75001,787,3
75001,472,91
75001,660,455
75001,721,415
75001,381,8
75001,540,115
75001,730,2461 154
75001,486,113
75001,700,167
75001,311,66
75001,471,53
75001,659,455
75001,700,167
75001,490,51
75001,720,20
75001,471,1
75001,538,4
75001,598,6
75001,89,1
75001,381,8
75001,500,2
75001,386,1
75001,349,1
75001,639,8
75001,805,14 413
75001,109,1
75001,811,14
75001,471,1
75001,731,25
75001,398,12
75001,592,3
75001,434,2
75001,720,415
75001,89,1
75001,109,1
75001,1 050,2
75001,787,3
75001,497,5
75001,500,98
75001,650,28
75001,564,45
75001,600,314
75001,549,227
75001,738,5
75001,700,24
75001,820,205
75001,700,24
75001,564,45
75001,700,12
75001,550,160
75001,495,150
75001,700,1 509
75001,495,180
75001,515,221
75001,495,152304
75001,830,1 051
75001,700,1 510
75001,820,205
75001,400,327
75001,537,189
75001,495,152
75001,495,152
75001,549,227
75001,549,100327
75001,549,100
75001,452,155
75001,633,79347
75001,450,113
75001,1 000,101 000
75001,580,214
75001,495,152304
75001,521,140444
75001,600,170
75001,790,450
75001,524,110
75001,630,407
75001,473,104
75001,531,171
75001,550,60
75001,476,84
75001,530,110
75001,700,24
75001,550,160
75001,465,43
75001,470,117
75001,530,63
75001,450,130
75001,520,87
75001,555,119
75001,550,48
75001,700,60
75001,526,64
75001,570,170
75001,420,49
75001,522,44
75001,640,98
75001,420,49
